,title,subtitle,link
0,POINT TO PROVE,Man Utd fans furious at what Elanga did when he was subbed off for Forest,https://www.thesun.co.uk/sport/25204448/man-utd-fans-elanga-subbed-nottingham-forest-badge-point/
1,MAN UTD RATINGS,Antony stakes case as worst-ever signing after woeful display vs Forest,https://www.thesun.co.uk/sport/25204238/man-utd-ratings-antony-worst-signing-garnacho-forest/
2,MAN DOWN,Man Utd reveal Hojlund OUT of Forest clash minutes before releasing team news,https://www.thesun.co.uk/sport/25203056/man-utd-rasmus-hojlund-nottingham-forest-team-news/
3,MARIO'S HEARTBREAK,Lemina heartbroken after death of his dad as Wolves stars honour him,https://www.thesun.co.uk/sport/25201644/mario-lemina-death-dad-wolves-everton/
4,'LEGENDS',Fans love seeing who Ferguson is sat next to during Man Utd v Nottingham Forest,https://www.thesun.co.uk/sport/25203930/ferguson-brailsford-man-utd-nottingham-forest/
5,OWN GOAL,Eagle-eyed fans spot TNT Sports blunder during Chelsea's win over Luton,https://www.thesun.co.uk/sport/25202494/fans-tnt-sports-blunder-barkley-chelsea-luton/
6,MAN CITY 2 SHEFF UTD 0,Rodri and Alvarez net in dominant show with wild possession stats,https://www.thesun.co.uk/sport/25186394/man-city-vs-sheffield-united-live-score-premier-league/
7,NYD SPECIAL,"Win £100,000 tax free cash at 8pm on New Year's Day from just 71p",https://www.thesun.co.uk/sport/25009784/win-cash-competition-7dp/
8,CELTIC 2 RANGERS 1,Kyogo and Bernardo widen gap going into 2024 despite late Tavernier goal,https://www.thesun.co.uk/sport/25202311/celtic-2-rangers-1-kyogo-bernardo/
9,VILLA 3 BURNLEY 2,Luiz scores late penalty against Clarets in 100-plus minute thriller,https://www.thesun.co.uk/sport/25191222/aston-villa-vs-burnley-live-latest-updates-team-news-as-clarets-visit-villa-park/
10,PALACE 3 BRENTFORD 1,Olise double seals vital win as Eagles come from behind at Selhurst,https://www.thesun.co.uk/sport/25186830/crystal-palace-vs-brentford-live-score-premier-league/
11,WOLVES 3 EVERTON 0,Kilman and Cunha sink Toffees as in-form Wolves brush aside Dyche's side,https://www.thesun.co.uk/sport/25190575/wolves-vs-everton-live-score-premier-league/
12,'CLOWNS',Spurs 'in talks with Chelsea' over controversial transfer for Gallagher for £40m,https://www.thesun.co.uk/sport/25200887/tottenham-chelsea-conor-gallagher-transfer-talks/
